epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.854,1.93712,2.43417,1.45753,0.0094,0.81503,0.0181,0.00972,1.36267,3.4996,0.98716,0.000648649,0.000648649,0.000648649
2,298.444,1.37197,1.39826,1.14373,0.52317,0.16763,0.24617,0.12966,1.40671,2.75344,1.01651,0.00129361,0.00129361,0.00129361
3,462.938,1.32862,1.31014,1.13165,0.84329,0.84393,0.76215,0.46421,1.35568,1.3709,1.00506,0.00191658,0.00191658,0.00191658
4,614.025,1.30395,1.20493,1.10833,0.84364,0.87324,0.79508,0.4951,1.31664,1.13094,0.99545,0.001901,0.001901,0.001901
5,752.078,1.20662,1.1128,1.06924,0.81358,0.8325,0.74563,0.46435,1.27733,1.35758,0.97022,0.001868,0.001868,0.001868
6,881.346,1.22735,1.10328,1.06639,0.82447,0.84167,0.77417,0.49026,1.23989,1.13956,0.94916,0.001835,0.001835,0.001835
7,1016.97,1.17685,1.04146,1.03392,0.8305,0.87283,0.79079,0.51427,1.25994,0.94194,0.95758,0.001802,0.001802,0.001802
8,1170.47,1.14483,1.00793,1.03495,0.84189,0.89017,0.79305,0.51787,1.17635,0.84189,0.93975,0.001769,0.001769,0.001769
9,1325.15,1.12928,0.99157,1.0245,0.79337,0.87861,0.76244,0.50718,1.16041,0.98268,0.92889,0.001736,0.001736,0.001736
10,1479.88,1.10243,0.97276,1.0302,0.8154,0.88439,0.79528,0.52376,1.22465,0.90926,0.9423,0.001703,0.001703,0.001703
11,1635.11,1.09241,0.94498,1.00481,0.82157,0.88439,0.78086,0.53938,1.14479,0.81681,0.9319,0.00167,0.00167,0.00167
12,1789.78,1.08319,0.94225,1.01193,0.82704,0.88449,0.79633,0.52433,1.14713,0.89614,0.9271,0.001637,0.001637,0.001637
13,1945.06,1.06063,0.91048,0.99774,0.83411,0.87861,0.79004,0.54115,1.16637,0.89483,0.92987,0.001604,0.001604,0.001604
14,11174.6,1.09933,0.90701,0.99711,0.81723,0.87879,0.7785,0.50679,1.23934,0.83504,0.94027,0.001571,0.001571,0.001571
15,11388.3,1.08944,0.89851,0.99663,0.85691,0.86705,0.80015,0.55239,1.12346,0.73836,0.91232,0.001538,0.001538,0.001538
16,11633.5,1.03879,0.86677,0.98098,0.75025,0.75723,0.73388,0.49635,1.12945,0.96502,0.92396,0.001505,0.001505,0.001505
17,11819.2,1.0124,0.83474,0.9707,0.84878,0.87603,0.81826,0.55306,1.1337,0.74436,0.92034,0.001472,0.001472,0.001472
18,12081,0.99199,0.82629,0.96675,0.7844,0.86127,0.7679,0.5317,1.06644,0.81747,0.89997,0.001439,0.001439,0.001439
19,12343.6,0.99989,0.82262,0.96619,0.83789,0.86643,0.7716,0.51737,1.17574,0.89181,0.91827,0.001406,0.001406,0.001406
20,12609.6,0.99202,0.84377,0.96458,0.81671,0.88439,0.77186,0.52518,1.12548,0.81223,0.91626,0.001373,0.001373,0.001373
21,13061.7,1.00995,0.82686,0.96633,0.83755,0.88439,0.8011,0.54717,1.12388,0.73334,0.91858,0.00134,0.00134,0.00134
22,13401.6,0.9639,0.77497,0.95554,0.833,0.86705,0.79697,0.56185,1.10246,0.76243,0.90535,0.001307,0.001307,0.001307
23,13680,0.98075,0.77051,0.9524,0.82631,0.87996,0.79949,0.56237,1.0799,0.7111,0.89915,0.001274,0.001274,0.001274
24,13859.1,0.99133,0.81184,0.95669,0.85758,0.87019,0.80695,0.54791,1.14171,0.7178,0.91054,0.001241,0.001241,0.001241
25,14101.2,0.95878,0.75733,0.94855,0.85011,0.84971,0.80378,0.56251,1.0755,0.74475,0.90419,0.001208,0.001208,0.001208
